date,steps,distance_km,active_energy_kcal,resting_energy_kcal,exercise_min,stand_hours,flights_climbed,hr_mean_bpm,hr_min_bpm,hr_max_bpm,hr_samples,hrv_ms,resp_rate,resting_hr_bpm,walking_speed_kmh,walking_step_length_cm,stand_min,steps_xml_rawsum,distance_km_xml_rawsum,hrv_ms_missing,resp_rate_missing,resting_hr_bpm_missing,walking_speed_kmh_missing,walking_step_length_cm_missing,stand_min_missing
2025-11-24,8042.0,5.67,180.54493307839388,1853.0114722753344,5.0,4.0,13.0,108.49,57.0,160.0,48.0,30.33,21.0,82.0,4.25,68.86,48.0,10913.0,7.4840215,0,0,0,0,0,0
2025-11-25,10933.0,8.2,601.0994263862333,2030.3537284894837,35.0,11.0,16.0,112.2,65.0,160.0,506.0,34.52,18.17,83.0,4.01,68.24,184.0,20636.0,14.854874600000004,0,0,0,0,0,0
2025-11-26,5606.0,4.06,369.26386233269596,1990.6787762906308,7.0,9.0,6.0,93.13,53.0,130.0,191.0,29.79,,76.0,3.74,61.19,109.0,9819.0,6.519816569999999,0,1,0,0,0,0
2025-11-27,6189.0,4.48,234.20411089866155,1745.4588910133843,14.0,5.0,1.0,105.77,56.0,137.0,134.0,20.52,,86.0,4.21,66.38,66.0,10785.0,7.630330070000001,0,1,0,0,0,0
2025-11-28,5322.0,3.28,,,,,5.0,,,,0.0,,,,3.97,63.24,0.0,5322.0,3.276553,1,1,1,0,0,0
2025-11-29,6228.0,4.66,241.39579349904398,1088.1931166347993,6.0,6.0,11.0,100.48,55.0,145.0,169.0,35.03,,84.0,4.04,65.33,59.0,10578.0,7.551538598000001,0,1,0,0,0,0
2025-11-30,2576.0,1.63,3.80019120458891,954.8279158699809,2.0,0.0,2.0,,,,0.0,,,,4.27,66.72,0.0,2576.0,1.63317,1,1,1,0,0,0
2025-12-01,3374.0,2.13,,,,,0.0,,,,0.0,,,,4.09,66.0,0.0,3374.0,2.1270630000000006,1,1,1,0,0,0
2025-12-02,1589.0,1.03,,,,,0.0,,,,0.0,,,,4.16,66.56,0.0,1589.0,1.0273299999999999,1,1,1,0,0,0
2025-12-03,877.0,0.609,,,,,0.0,,,,0.0,,,,4.49,68.83,0.0,877.0,0.60868,1,1,1,0,0,0
